[INFO ] [00:01:31] org.springframework.context.support.ClassPathXmlApplicationContext - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@1fc32e4f: startup date [Mon Mar 02 00:01:31 CST 2026]; root of context hierarchy
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: Device.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: DeviceCount.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: DeviceRisk.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: DgsBetRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: DicHandBook.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: DicHandBookReward.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: DicJackpot.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: DicMzItem.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: DicPet.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: DicPit.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: DicPrizeDraw.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: DicPrizeRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: DicPrizeRecordVo.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: DicRole.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: DicVip.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: DicZyt.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: DuoYouOrder.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: ExchangeRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: FoodGameRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: Game.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: GameLotteryResult.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: GameNs.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: GiveGrandfaIncome.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: GiveParentIncome.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: GodSeatAnalysis.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: GoodNo.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: Group.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: Guild.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: GuildDailyStatics.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: GuildGrantRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: GuildMember.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: HandBookRewardRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: hongbao
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: huifu
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: IncomeRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: InvestDetail.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: InviteReward.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: IOSOrder.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: Item.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: jingang
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: LhdBetRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: Location.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: LogLogin.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: LogSign.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: LogTrading.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: LogUserBackpack.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: LogUserCapital.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: Lv.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: Mail.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: Monster.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: MzBuyRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: MzTrad.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: MzUserItem.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: NccInfo.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: News.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: Notice.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: Ns.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: NsSettle.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: OpenBoxRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: PayBean.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: PayOrder.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: PbxWeekSettleEvent.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: PbxWeekSummary.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: PetAnalysis.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: PitRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: PitUserParent.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: PlatformStatement.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: PrizeDrawRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: PrizeDrawReward.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: Product.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: Question.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: RechargeOrder.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: RefineElixirRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: RefundIosDto.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: Role.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: SellSysRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: SendGiftRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: SgBetRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: shoop
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: ShopManagerProduct.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: ShoppingRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: Sign.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: SignReward.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: Source.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: StarChangeRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: Supply.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: SystemLocale.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: TaskOrder.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: TeamAttribute.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: Template.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: TotalSignRecord.class
